,institutionsnummer,Karakter,Soc_ref,beliggenhedskommunenr,lat,lon,postnr,student_count,navn,institutionstype2,institutionstype3,coordinates
27,101058,7.3,7.1,101,55.664994202965495,12.613406966616399,2300,930.0,Lergravsparkens Skole,Grundskoler,Folkeskoler,"(55.664994202965495, 12.613406966616399)"
28,101059,7.8,7.7,101,55.6629241401929,12.583199412125799,2300,1295.0,Skolen på Islands Brygge,Grundskoler,Folkeskoler,"(55.6629241401929, 12.583199412125799)"
29,101060,7.3,6.6,101,55.655356332401894,12.596598560878999,2300,695.0,Peder Lykke Skolen,Grundskoler,Folkeskoler,"(55.655356332401894, 12.596598560878999)"
30,101062,6.8,6.6,101,55.6578964166001,12.5356498902901,2450,395.0,Bavnehøj Skole,Grundskoler,Folkeskoler,"(55.6578964166001, 12.5356498902901)"
31,101063,6.3,5.6,101,55.6510747055513,12.531610607486801,2450,494.0,Ellebjerg Skole,Grundskoler,Folkeskoler,"(55.6510747055513, 12.531610607486801)"
32,101064,6.4,7.0,101,55.6664515798549,12.5449517678894,1670,890.0,Tove Ditlevsens Skole,Grundskoler,Folkeskoler,"(55.6664515798549, 12.5449517678894)"
33,101069,7.8,7.5,101,55.667596755247494,12.550323216110101,1663,570.0,Oehlenschlægersgades Skole,Grundskoler,Folkeskoler,"(55.667596755247494, 12.550323216110101)"
34,101070,7.8,7.9,101,55.666652912372896,12.486321625850401,2500,553.0,Hanssted Skole,Grundskoler,Folkeskoler,"(55.666652912372896, 12.486321625850401)"
35,101071,5.9,6.3,101,55.649156789376605,12.501983122535801,2500,485.0,Kirsebærhavens Skole,Grundskoler,Folkeskoler,"(55.649156789376605, 12.501983122535801)"
36,101072,7.0,6.7,101,55.6601006734379,12.484063677139199,2500,446.0,Lykkebo Skole,Grundskoler,Folkeskoler,"(55.6601006734379, 12.484063677139199)"
37,101074,6.4,6.6,101,55.6651536990499,12.509108238038301,2500,656.0,Valby Skole,Grundskoler,Folkeskoler,"(55.6651536990499, 12.509108238038301)"
38,101075,6.6,6.7,101,55.661452474609604,12.5080916879191,2500,702.0,Vigerslev Allés Skole,Grundskoler,Folkeskoler,"(55.661452474609604, 12.5080916879191)"
39,101076,5.8,6.5,101,55.6700885940723,12.495058522832698,2500,637.0,Ålholm Skole,Grundskoler,Folkeskoler,"(55.6700885940723, 12.495058522832698)"
40,101078,9.0,8.3,101,55.7222505426711,12.5577468810455,2100,165.0,Carolineskolen,Grundskoler,Friskoler og private grundskoler,"(55.7222505426711, 12.5577468810455)"
41,101079,8.9,8.5,101,55.6732833108904,12.593893093146301,1420,295.0,Christianshavns Døttreskole,Grundskoler,Friskoler og private grundskoler,"(55.6732833108904, 12.593893093146301)"
42,101080,6.9,6.7,101,55.683976258937996,12.5667857706436,1364,262.0,Det Kgl Vaisenhus Skole,Grundskoler,Friskoler og private grundskoler,"(55.683976258937996, 12.5667857706436)"
43,101081,8.4,8.1,101,55.6941915753893,12.582307786777198,2100,796.0,Institut Sankt Joseph,Grundskoler,Friskoler og private grundskoler,"(55.6941915753893, 12.582307786777198)"
44,101082,6.8,7.0,101,55.68824371888821,12.5593533207393,2200,322.0,Sankt Ansgars Skole,Grundskoler,Friskoler og private grundskoler,"(55.68824371888821, 12.5593533207393)"
45,101083,9.3,8.6,101,55.689790970187595,12.5755962794031,2100,394.0,Krebs' Skole,Grundskoler,Friskoler og private grundskoler,"(55.689790970187595, 12.5755962794031)"
46,101084,7.5,7.6,101,55.653833385258295,12.6071414814094,2300,560.0,Sankt Annæ Skole,Grundskoler,Friskoler og private grundskoler,"(55.653833385258295, 12.6071414814094)"
47,101086,8.0,8.1,101,55.6941743205278,12.576322905164199,2100,419.0,Bordings Friskole,Grundskoler,Friskoler og private grundskoler,"(55.6941743205278, 12.576322905164199)"
48,101088,8.6,8.2,101,55.6827235384127,12.569256361673999,1361,455.0,N. Zahles Seminarieskole,Grundskoler,Friskoler og private grundskoler,"(55.6827235384127, 12.569256361673999)"
49,101089,9.5,8.4,101,55.6797379385099,12.569634084038999,1451,601.0,Sankt Petri Skole,Grundskoler,Friskoler og private grundskoler,"(55.6797379385099, 12.569634084038999)"
50,101091,8.1,8.1,101,55.6624030145113,12.6318796858562,2300,197.0,"Hovedstadens Privatskole, Filipskolen",Grundskoler,Friskoler og private grundskoler,"(55.6624030145113, 12.6318796858562)"
51,101092,6.9,7.4,101,55.6513244813005,12.6173567016551,2300,232.0,Amager Lille Skole,Grundskoler,Friskoler og private grundskoler,"(55.6513244813005, 12.6173567016551)"
52,101111,7.4,7.9,101,55.6581068147651,12.5058890928141,2500,459.0,Byens Skole,Grundskoler,Friskoler og private grundskoler,"(55.6581068147651, 12.5058890928141)"
53,101127,8.3,8.3,101,55.6905667947849,12.5757787098614,2100,184.0,Øbro Fri Skole,Grundskoler,Friskoler og private grundskoler,"(55.6905667947849, 12.5757787098614)"
54,101129,7.9,7.6,101,55.6490176110893,12.634056163366198,2300,133.0,Landsbyskolen,Grundskoler,Friskoler og private grundskoler,"(55.6490176110893, 12.634056163366198)"
55,101132,7.3,7.4,101,55.694188850303796,12.551259126975,2200,201.0,Nørrebro Lilleskole,Grundskoler,Friskoler og private grundskoler,"(55.694188850303796, 12.551259126975)"
56,101133,7.5,7.7,101,55.6660022996429,12.5064141973877,2500,199.0,Freinet-Skolen,Grundskoler,Friskoler og private grundskoler,"(55.6660022996429, 12.5064141973877)"
57,101135,9.1,8.5,101,55.682171211756604,12.4880983225825,2720,201.0,Vanløse Privatskole,Grundskoler,Friskoler og private grundskoler,"(55.682171211756604, 12.4880983225825)"
58,101138,6.9,6.5,101,55.7184703801835,12.544362399661301,2100,473.0,Lundehusskolen,Grundskoler,Folkeskoler,"(55.7184703801835, 12.544362399661301)"
59,101140,8.2,8.1,101,55.657277,12.51978288,2500,207.0,Trekronergade Freinetskole,Grundskoler,Friskoler og private grundskoler,"(55.657277, 12.51978288)"
60,101149,7.2,6.6,101,55.69039923,12.56165569,2200,264.0,DIA Privatskole,Grundskoler,Friskoler og private grundskoler,"(55.69039923, 12.56165569)"
61,101151,6.9,6.6,101,55.716494287455504,12.5733199878141,2100,587.0,Kildevældsskolen,Grundskoler,Folkeskoler,"(55.716494287455504, 12.5733199878141)"
62,101152,8.7,8.1,101,55.7213912573883,12.5586640107915,2100,152.0,Bjørns Internationale Skole,Grundskoler,Friskoler og private grundskoler,"(55.7213912573883, 12.5586640107915)"
63,101153,8.5,8.3,101,55.700287411550995,12.5785481531163,2100,671.0,Ingrid Jespersens Gymnasieskole,Grundskoler,Friskoler og private grundskoler,"(55.700287411550995, 12.5785481531163)"
64,101154,8.0,8.1,101,55.70812777276301,12.5670547038203,2100,477.0,Niels Steensens Gymnasium,Grundskoler,Friskoler og private grundskoler,"(55.70812777276301, 12.5670547038203)"
65,101155,9.4,8.4,101,55.682456904809705,12.569828766514402,1358,790.0,N. Zahles Gymnasieskole,Grundskoler,Friskoler og private grundskoler,"(55.682456904809705, 12.569828766514402)"
66,101157,7.3,7.5,101,55.6977329321241,12.577207980257,2100,654.0,Sortedamskolen,Grundskoler,Folkeskoler,"(55.6977329321241, 12.577207980257)"
67,101158,9.0,8.3,101,55.656084053320505,12.5258455390821,2500,583.0,Sankt Annæ Gymnasiums Grundskole,Grundskoler,Folkeskoler,"(55.656084053320505, 12.5258455390821)"
68,101162,5.9,6.0,101,55.6591591982375,12.501859125616699,2500,166.0,Kildeskolen,Grundskoler,Friskoler og private grundskoler,"(55.6591591982375, 12.501859125616699)"
69,101163,7.0,6.6,101,55.648067833665294,12.6347715795188,2300,184.0,Amager's International School,Grundskoler,Friskoler og private grundskoler,"(55.648067833665294, 12.6347715795188)"
70,101169,6.4,6.2,101,55.6961895927436,12.4813493360965,2720,203.0,Jinnah International School,Grundskoler,Friskoler og private grundskoler,"(55.6961895927436, 12.4813493360965)"
71,101170,6.9,7.7,101,55.6925081,12.55873945,2200,145.0,Det Frie Gymnasiums Grundskole,Grundskoler,Friskoler og private grundskoler,"(55.6925081, 12.55873945)"
72,101172,6.2,5.8,101,55.6875406075802,12.4871951099964,2720,208.0,Ahi International School,Grundskoler,Friskoler og private grundskoler,"(55.6875406075802, 12.4871951099964)"
73,101174,6.7,6.9,101,55.662116959338796,12.596477457471002,2300,830.0,Amager Fælled Skole,Grundskoler,Folkeskoler,"(55.662116959338796, 12.596477457471002)"
74,101175,8.0,8.0,101,55.699606211108396,12.586741262849099,2100,986.0,Langelinieskolen,Grundskoler,Folkeskoler,"(55.699606211108396, 12.586741262849099)"
75,101178,5.6,6.1,101,55.702232763199206,12.5358365040029,2400,163.0,Lygten Skole,Grundskoler,Friskoler og private grundskoler,"(55.702232763199206, 12.5358365040029)"
76,101180,7.8,7.3,101,55.6503931524827,12.5224910365209,2450,232.0,Al Hikma Skolen,Grundskoler,Friskoler og private grundskoler,"(55.6503931524827, 12.5224910365209)"
77,101181,6.8,6.3,101,55.649476960703495,12.522663050445,2450,249.0,Hay Skolen,Grundskoler,Friskoler og private grundskoler,"(55.649476960703495, 12.522663050445)"
78,101184,6.0,5.8,101,55.6985444983091,12.5306831759221,2400,207.0,Sjællands Privatskole,Grundskoler,Friskoler og private grundskoler,"(55.6985444983091, 12.5306831759221)"
79,101185,6.7,7.1,101,55.673601795546105,12.556696319725999,1616,135.0,Mariendal Friskole,Grundskoler,Friskoler og private grundskoler,"(55.673601795546105, 12.556696319725999)"
80,101188,8.1,7.6,101,55.6742769940967,12.5593781673688,1610,230.0,Copenhagen City School,Grundskoler,Friskoler og private grundskoler,"(55.6742769940967, 12.5593781673688)"
81,101189,7.4,6.5,101,55.700219411937596,12.5313160036462,2400,277.0,Al-Huda Skolen,Grundskoler,Friskoler og private grundskoler,"(55.700219411937596, 12.5313160036462)"
82,101191,7.4,7.9,101,55.670587132229606,12.5483968790286,1665,294.0,Børneuniversitetet på Vesterbro,Grundskoler,Friskoler og private grundskoler,"(55.670587132229606, 12.5483968790286)"
83,101303,6.2,6.7,101,55.64798298,12.51135312,2450,124.0,Københavns Idrætsefterskole,Efterskoler,Efterskoler,"(55.64798298, 12.51135312)"
84,101516,6.4,6.1,101,55.7058615957497,12.526234665517899,2400,333.0,Al Quds Skole,Grundskoler,Friskoler og private grundskoler,"(55.7058615957497, 12.526234665517899)"
85,101526,5.6,5.7,101,55.7009690047132,12.5360630242783,2400,187.0,Al-Hilal Skolen,Grundskoler,Friskoler og private grundskoler,"(55.7009690047132, 12.5360630242783)"
86,101537,8.6,8.2,101,55.702980383559996,12.5818726356956,2100,513.0,Heibergskolen,Grundskoler,Folkeskoler,"(55.702980383559996, 12.5818726356956)"
87,101540,5.7,6.6,101,55.7112670082224,12.5198615632974,2400,829.0,Utterslev Skole,Grundskoler,Folkeskoler,"(55.7112670082224, 12.5198615632974)"
88,101564,8.4,7.8,101,55.64681357594149,12.635535966308598,2300,50.0,Øresunds Internationale Skole,Grundskoler,Friskoler og private grundskoler,"(55.64681357594149, 12.635535966308598)"
89,101572,7.4,7.4,101,55.665355077993496,12.5405775825191,1762,763.0,Vesterbro Ny Skole,Grundskoler,Folkeskoler,"(55.665355077993496, 12.5405775825191)"
90,101585,8.0,7.8,101,55.653272624971294,12.5894188886489,2300,223.0,Ørestad Friskole,Grundskoler,Friskoler og private grundskoler,"(55.653272624971294, 12.5894188886489)"
91,101586,7.9,7.7,101,55.6701424957163,12.5575471061709,1656,552.0,Gasværksvejens Skole,Grundskoler,Folkeskoler,"(55.6701424957163, 12.5575471061709)"
92,101593,6.8,6.3,101,55.6586888580178,12.503183558078199,2500,175.0,Salix Skole,Grundskoler,Friskoler og private grundskoler,"(55.6586888580178, 12.503183558078199)"
93,147002,7.2,7.4,147,55.68051208955811,12.508862159228402,2000,947.0,Lindevangskolen,Grundskoler,Folkeskoler,"(55.68051208955811, 12.508862159228402)"
94,147006,6.5,7.2,147,55.6746004791887,12.5034642455995,2000,771.0,Søndermarkskolen,Grundskoler,Folkeskoler,"(55.6746004791887, 12.5034642455995)"
95,147007,8.6,8.3,147,55.6911252121039,12.5285771073539,2000,865.0,Skolen på Duevej,Grundskoler,Folkeskoler,"(55.6911252121039, 12.5285771073539)"
96,147008,8.0,7.7,147,55.682698963037005,12.5467685327793,1962,901.0,Skolen ved Bulowsvej,Grundskoler,Folkeskoler,"(55.682698963037005, 12.5467685327793)"
97,147010,8.0,7.9,147,55.6845664304581,12.518391115382302,2000,759.0,Skolen på La Cours Vej,Grundskoler,Folkeskoler,"(55.6845664304581, 12.518391115382302)"
98,147012,7.2,7.5,147,55.68282151345839,12.530571684591902,2000,928.0,Skolen på Nyelandsvej,Grundskoler,Folkeskoler,"(55.68282151345839, 12.530571684591902)"
99,147017,8.7,8.4,147,55.671246721619205,12.5369104563961,1812,239.0,Frederik Barfods Skole,Grundskoler,Friskoler og private grundskoler,"(55.671246721619205, 12.5369104563961)"
100,147018,9.0,8.5,147,55.675851755748994,12.5471771275627,1902,443.0,Kaptajn Johnsens Skole,Grundskoler,Friskoler og private grundskoler,"(55.675851755748994, 12.5471771275627)"
101,147033,8.3,8.1,147,55.681236833428,12.546755236010098,1961,152.0,Jakobskolen,Grundskoler,Friskoler og private grundskoler,"(55.681236833428, 12.546755236010098)"
102,147034,8.8,8.4,147,55.6750414547389,12.5018751828903,2000,693.0,Johannesskolen,Grundskoler,Friskoler og private grundskoler,"(55.6750414547389, 12.5018751828903)"
103,147044,8.3,8.0,147,55.6758807591376,12.5375665568862,1855,944.0,Ny Hollænderskolen,Grundskoler,Folkeskoler,"(55.6758807591376, 12.5375665568862)"
104,147051,6.7,7.4,147,55.6800885506188,12.4980944246467,2000,275.0,Tre Falke Skolen,Grundskoler,Folkeskoler,"(55.6800885506188, 12.4980944246467)"
105,147052,7.5,7.9,147,55.677842916841094,12.552764377293,1911,710.0,Skolen ved Søerne,Grundskoler,Folkeskoler,"(55.677842916841094, 12.552764377293)"
106,151003,6.9,6.7,151,55.7203335714025,12.357771179391198,2750,652.0,Hedegårdsskolen,Grundskoler,Folkeskoler,"(55.7203335714025, 12.357771179391198)"
107,151014,7.9,8.2,151,55.7559919816893,12.3885705257075,2750,257.0,Hareskovens Lilleskole,Grundskoler,Friskoler og private grundskoler,"(55.7559919816893, 12.3885705257075)"
108,151018,7.6,7.7,151,55.755656268291,12.3456160200617,2750,190.0,Ballerup Ny Skole,Grundskoler,Friskoler og private grundskoler,"(55.755656268291, 12.3456160200617)"
109,151021,8.4,8.1,151,55.7290135950334,12.3996855613566,2740,281.0,Thomasskolen,Grundskoler,Friskoler og private grundskoler,"(55.7290135950334, 12.3996855613566)"
110,153018,6.3,6.3,153,55.6611531699036,12.4458384331742,2605,935.0,Brøndbyøster Skole,Grundskoler,Folkeskoler,"(55.6611531699036, 12.4458384331742)"
111,153019,6.1,6.8,153,55.6454844020148,12.412521578141199,2605,1148.0,Brøndbyvester Skole,Grundskoler,Folkeskoler,"(55.6454844020148, 12.412521578141199)"
112,153020,5.4,5.8,153,55.62671577165,12.399406281910998,2660,1031.0,Brøndby Strand Skole,Grundskoler,Folkeskoler,"(55.62671577165, 12.399406281910998)"
113,153300,4.8,5.5,153,55.651100787155,12.416114664517698,2605,87.0,Brøndby Idrætsefterskole,Efterskoler,Efterskoler,"(55.651100787155, 12.416114664517698)"
114,155004,7.9,7.8,155,55.5986481699811,12.6588071242827,2791,721.0,Nordstrandskolen,Grundskoler,Folkeskoler,"(55.5986481699811, 12.6588071242827)"
115,157001,7.8,7.8,157,55.746338784715604,12.5254548613061,2820,751.0,Bakkegårdsskolen,Grundskoler,Folkeskoler,"(55.746338784715604, 12.5254548613061)"
116,157002,8.5,8.3,157,55.732721547659395,12.538941861696,2900,724.0,Dyssegårdsskolen,Grundskoler,Folkeskoler,"(55.732721547659395, 12.538941861696)"
117,157003,8.1,8.0,157,55.74292091139439,12.5472343852408,2820,742.0,Gentofte Skole,Grundskoler,Folkeskoler,"(55.74292091139439, 12.5472343852408)"
118,157005,7.9,8.0,157,55.743843398737106,12.5695996286044,2900,691.0,Maglegårdsskolen,Grundskoler,Folkeskoler,"(55.743843398737106, 12.5695996286044)"
119,157007,7.9,7.8,157,55.735239486886606,12.5221092224845,2870,611.0,Munkegårdsskolen,Grundskoler,Folkeskoler,"(55.735239486886606, 12.5221092224845)"
120,157008,8.8,8.3,157,55.75716845470429,12.5730596968714,2920,787.0,Ordrup Skole,Grundskoler,Folkeskoler,"(55.75716845470429, 12.5730596968714)"
121,157009,8.1,8.2,157,55.7663991369269,12.568533380073301,2920,764.0,Skovgårdsskolen,Grundskoler,Folkeskoler,"(55.7663991369269, 12.568533380073301)"
122,157010,8.1,8.0,157,55.762157472933204,12.5936915236921,2920,636.0,Skovshoved Skole,Grundskoler,Folkeskoler,"(55.762157472933204, 12.5936915236921)"
123,157011,7.6,7.7,157,55.7550860005017,12.5304733848264,2820,631.0,Tjørnegårdsskolen,Grundskoler,Folkeskoler,"(55.7550860005017, 12.5304733848264)"
124,157012,9.2,8.5,157,55.73910769629929,12.5669140263643,2900,516.0,Tranegårdskolen,Grundskoler,Folkeskoler,"(55.73910769629929, 12.5669140263643)"
125,157013,8.2,8.2,157,55.731595591434605,12.572899003906699,2900,588.0,Bernadotteskolen,Grundskoler,Friskoler og private grundskoler,"(55.731595591434605, 12.572899003906699)"
126,157015,8.7,8.4,157,55.7453905190408,12.5222293790523,2820,312.0,Busses Skole,Grundskoler,Friskoler og private grundskoler,"(55.7453905190408, 12.5222293790523)"
127,157018,8.4,8.3,157,55.7306171223294,12.556169768246699,2900,969.0,Rygaards Skole,Grundskoler,Friskoler og private grundskoler,"(55.7306171223294, 12.556169768246699)"
128,157019,8.1,8.1,157,55.7619851557617,12.572465029091498,2920,453.0,Sct. Joseph Søstrenes Skole S/I,Grundskoler,Friskoler og private grundskoler,"(55.7619851557617, 12.572465029091498)"
129,157040,9.2,8.4,157,55.7372635227296,12.543253844680299,2900,830.0,Kildegård Privatskole,Grundskoler,Friskoler og private grundskoler,"(55.7372635227296, 12.543253844680299)"
130,157047,8.2,8.0,157,55.7236650042573,12.581017592425198,2900,624.0,Hellerup Skole,Grundskoler,Folkeskoler,"(55.7236650042573, 12.581017592425198)"
131,159001,7.8,7.8,159,55.758827208452395,12.4607614067399,2880,844.0,Bagsværd Skole,Grundskoler,Folkeskoler,"(55.758827208452395, 12.4607614067399)"
132,159002,7.1,7.4,159,55.741713479950896,12.503414678307399,2860,719.0,Buddinge Skole,Grundskoler,Folkeskoler,"(55.741713479950896, 12.503414678307399)"
133,159004,7.4,7.4,159,55.7240986944238,12.478079623503401,2860,839.0,Enghavegård Skole,Grundskoler,Folkeskoler,"(55.7240986944238, 12.478079623503401)"
134,159005,6.6,7.1,159,55.745215976875,12.4718871081832,2860,806.0,Gladsaxe Skole,Grundskoler,Folkeskoler,"(55.745215976875, 12.4718871081832)"
135,159006,7.2,7.1,159,55.7278027304859,12.496681725799,2860,886.0,Grønnemose Skole,Grundskoler,Folkeskoler,"(55.7278027304859, 12.496681725799)"
136,159008,6.2,6.5,159,55.7238337894305,12.4692452675245,2860,426.0,Mørkhøj Skole,Grundskoler,Folkeskoler,"(55.7238337894305, 12.4692452675245)"
137,159009,8.3,8.2,159,55.7570467409232,12.47499439421,2800,577.0,Stengård Skole,Grundskoler,Folkeskoler,"(55.7570467409232, 12.47499439421)"
138,159010,7.8,7.8,159,55.734704956102895,12.512006236565199,2860,603.0,Søborg Skole,Grundskoler,Folkeskoler,"(55.734704956102895, 12.512006236565199)"
139,159012,7.4,7.3,159,55.750637447633295,12.488731354247902,2860,642.0,Vadgård Skole,Grundskoler,Folkeskoler,"(55.750637447633295, 12.488731354247902)"
140,159013,7.2,6.9,159,55.75815690894879,12.4320118999691,2880,369.0,Skovbrynet skole,Grundskoler,Folkeskoler,"(55.75815690894879, 12.4320118999691)"
141,159015,8.3,8.2,159,55.7559652866213,12.478923456996801,2800,232.0,Den Lille Skole,Grundskoler,Friskoler og private grundskoler,"(55.7559652866213, 12.478923456996801)"
142,159016,7.2,7.6,159,55.7472789654757,12.488778974389698,2860,398.0,Kvikmarkens Privatskole,Grundskoler,Friskoler og private grundskoler,"(55.7472789654757, 12.488778974389698)"
143,159017,6.4,6.8,159,55.7550438739549,12.482933711823799,2800,168.0,Gladsaxe Privatskole,Grundskoler,Friskoler og private grundskoler,"(55.7550438739549, 12.482933711823799)"
144,159018,7.7,7.8,159,55.76653145632171,12.4458813493211,2880,195.0,Bagsværd Friskole (Hanna-Skolen),Grundskoler,Friskoler og private grundskoler,"(55.76653145632171, 12.4458813493211)"
145,159034,8.7,8.3,159,55.7645171589758,12.4513673341681,2880,737.0,Bagsværd Gymnasiums Grundskole,Grundskoler,Friskoler og private grundskoler,"(55.7645171589758, 12.4513673341681)"
147,163001,7.4,7.2,163,55.7325453737241,12.4250623069057,2730,915.0,Lindehøjskolen,Grundskoler,Folkeskoler,"(55.7325453737241, 12.4250623069057)"
148,163004,6.8,6.4,163,55.7231864029724,12.431585685153301,2730,850.0,Herlev byskole,Grundskoler,Folkeskoler,"(55.7231864029724, 12.431585685153301)"
149,163006,6.1,6.3,163,55.742352607168506,12.4252745333986,2730,949.0,Kildegårdskolen,Grundskoler,Folkeskoler,"(55.742352607168506, 12.4252745333986)"
150,163009,8.9,8.2,163,55.7427475227567,12.4124071641936,2730,239.0,Herlev Privatskole,Grundskoler,Friskoler og private grundskoler,"(55.7427475227567, 12.4124071641936)"
151,165001,6.9,7.2,165,55.66943335244739,12.328888885097802,2620,475.0,Egelundskolen,Grundskoler,Folkeskoler,"(55.66943335244739, 12.328888885097802)"
152,165011,8.8,8.2,165,55.6881228188889,12.371353008461499,2620,227.0,Albertslund Lille Skole,Grundskoler,Friskoler og private grundskoler,"(55.6881228188889, 12.371353008461499)"
153,165019,6.1,6.5,165,55.675417655404,12.364225031528498,2620,950.0,Herstedøster Skole,Grundskoler,Folkeskoler,"(55.675417655404, 12.364225031528498)"
154,165020,6.2,6.6,165,55.669517969190906,12.340694335379801,2620,906.0,Herstedvester Skole,Grundskoler,Folkeskoler,"(55.669517969190906, 12.340694335379801)"
155,167001,7.0,6.9,167,55.6311810602445,12.4841329252436,2650,780.0,Dansborgskolen,Grundskoler,Folkeskoler,"(55.6311810602445, 12.4841329252436)"
156,167002,6.7,6.3,167,55.6433114177557,12.468120746085999,2650,593.0,Gungehusskolen,Grundskoler,Folkeskoler,"(55.6433114177557, 12.468120746085999)"
157,167003,7.3,7.4,167,55.66195314,12.47052361,2650,578.0,Holmegårdsskolen,Grundskoler,Folkeskoler,"(55.66195314, 12.47052361)"
158,167004,7.8,7.7,167,55.6204569356775,12.490627071194801,2650,705.0,Langhøjskolen,Grundskoler,Folkeskoler,"(55.6204569356775, 12.490627071194801)"
159,167005,7.0,6.4,167,55.654091625855706,12.4664491882175,2650,508.0,Præstemoseskolen,Grundskoler,Folkeskoler,"(55.654091625855706, 12.4664491882175)"
160,167006,7.6,7.8,167,55.6407471246687,12.4873004457131,2650,779.0,Risbjergskolen,Grundskoler,Folkeskoler,"(55.6407471246687, 12.4873004457131)"
